City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI
Madisonville,LA,saint tammany,2023-01-02,30.4,-90.2,2023,1,2,Winter,1,
Cape Coral,FL,lee,2023-01-02,26.6,-81.9,2023,1,2,Winter,7,30.0
West Palm Beach,FL,palm beach,2023-01-02,26.8,-80.0,2023,1,2,Winter,48,37.0
Hilton Head Island,SC,beaufort,2023-01-02,32.2,-80.7,2023,1,2,Winter,3,
Houston,TX,harris,2023-01-03,29.7,-95.4,2023,1,3,Winter,43,64.0
Spring,TX,harris,2023-01-03,30.2,-95.5,2023,1,3,Winter,4,64.0
Spring,TX,montgomery,2023-01-03,30.2,-95.5,2023,1,3,Winter,6,53.0
Summerfield,FL,marion,2023-01-03,29.0,-82.0,2023,1,3,Winter,1,34.0
Houston,TX,fort bend,2023-01-03,29.7,-95.4,2023,1,3,Winter,1,
Tampa,FL,hillsborough,2023-01-03,27.9,-82.5,2023,1,3,Winter,84,35.0
Tucson,AZ,pima,2023-01-04,32.3,-111.0,2023,1,4,Winter,95,57.0
Sanibel,FL,lee,2023-01-04,26.4,-82.0,2023,1,4,Winter,2,25.0
Cape Coral,FL,lee,2023-01-04,26.6,-82.0,2023,1,4,Winter,21,25.0
Marathon,FL,monroe,2023-01-04,24.7,-81.1,2023,1,4,Winter,6,
Vero Beach,FL,indian river,2023-01-04,27.6,-80.4,2023,1,4,Winter,5,24.0
West Palm Beach,FL,palm beach,2023-01-04,26.8,-80.0,2023,1,4,Winter,24,29.0
Boynton Beach,FL,palm beach,2023-01-04,26.5,-80.1,2023,1,4,Winter,6,29.0
Sugar Land,TX,fort bend,2023-01-05,29.6,-95.6,2023,1,5,Winter,5,
Coconut Creek,FL,broward,2023-01-05,26.3,-80.2,2023,1,5,Winter,3,51.0
West Palm Beach,FL,palm beach,2023-01-05,26.8,-80.0,2023,1,5,Winter,24,33.0
Charleston,SC,berkeley,2023-01-06,32.7,-80.0,2023,1,6,Winter,4,
Houston,TX,fort bend,2023-01-06,29.7,-95.4,2023,1,6,Winter,1,
Panama City,FL,bay,2023-01-06,30.2,-85.8,2023,1,6,Winter,24,39.0
Wellington,FL,palm beach,2023-01-06,26.6,-80.3,2023,1,6,Winter,7,39.0
Houston,TX,harris,2023-01-06,29.7,-95.4,2023,1,6,Winter,43,95.0
Charleston,SC,charleston,2023-01-06,32.7,-80.0,2023,1,6,Winter,11,37.0
Tomball,TX,harris,2023-01-07,30.0,-95.6,2023,1,7,Winter,3,53.0
Sugar Land,TX,fort bend,2023-01-07,29.6,-95.6,2023,1,7,Winter,1,
Jacksonville,FL,duval,2023-01-07,30.2,-81.6,2023,1,7,Winter,22,82.0
Green Valley,AZ,pima,2023-01-07,31.9,-111.0,2023,1,7,Winter,3,56.0
Jacksonville,FL,saint johns,2023-01-07,30.2,-81.6,2023,1,7,Winter,4,
Houston,TX,harris,2023-01-08,29.7,-95.4,2023,1,8,Winter,43,52.0
Pacific Grove,CA,monterey,2023-01-08,36.6,-121.9,2023,1,8,Winter,8000,32.0
Wellington,FL,palm beach,2023-01-08,26.7,-80.3,2023,1,8,Winter,7,44.0
Houston,TX,fort bend,2023-01-08,29.7,-95.4,2023,1,8,Winter,1,
Glendora,CA,los angeles,2023-01-08,34.1,-117.9,2023,1,8,Winter,1,82.0
Tucson,AZ,pima,2023-01-08,32.2,-110.9,2023,1,8,Winter,38,55.0
Seabrook,TX,harris,2023-01-08,29.6,-95.0,2023,1,8,Winter,18,52.0
Corpus Christi,TX,nueces,2023-01-09,27.8,-97.4,2023,1,9,Winter,5,52.0
Tucson,AZ,pima,2023-01-09,32.2,-110.9,2023,1,9,Winter,19,49.0
Pascagoula,MS,jackson,2023-01-09,30.4,-88.6,2023,1,9,Winter,11,50.0
Tucson,AZ,pima,2023-01-09,32.3,-111.0,2023,1,9,Winter,95,49.0
Gulf Shores,AL,baldwin,2023-01-10,30.2,-87.7,2023,1,10,Winter,1,47.0
Orlando,FL,brevard,2023-01-10,28.6,-81.5,2023,1,10,Winter,3,49.0
Barranquitas,PR,barranquitas,2023-01-10,18.2,-66.3,2023,1,10,Winter,4,
Houston,TX,fort bend,2023-01-10,29.8,-95.4,2023,1,10,Winter,1,
Orlando,FL,orange,2023-01-10,28.6,-81.5,2023,1,10,Winter,23,54.0
Houston,TX,harris,2023-01-10,29.8,-95.4,2023,1,10,Winter,43,61.0
West Palm Beach,FL,palm beach,2023-01-10,26.8,-80.0,2023,1,10,Winter,24,57.0
Port Salerno,FL,martin,2023-01-10,27.1,-80.2,2023,1,10,Winter,2,44.0
Alva,FL,lee,2023-01-11,26.7,-81.6,2023,1,11,Winter,8,46.0
Tucson,AZ,pima,2023-01-11,32.2,-110.9,2023,1,11,Winter,76,47.0
Longwood,FL,seminole,2023-01-11,28.7,-81.3,2023,1,11,Winter,18,55.0
Berkeley,CA,alameda,2023-01-12,37.9,-122.2,2023,1,12,Winter,4,43.0
Tampa,FL,hillsborough,2023-01-12,28.1,-82.6,2023,1,12,Winter,84,54.0
Houston,TX,fort bend,2023-01-13,29.8,-95.4,2023,1,13,Winter,1,
Savannah,GA,chatham,2023-01-13,32.0,-81.1,2023,1,13,Winter,10,
Houston,TX,harris,2023-01-13,29.8,-95.4,2023,1,13,Winter,43,65.0
Tucson,AZ,pima,2023-01-13,32.3,-111.0,2023,1,13,Winter,38,51.0
West Palm Beach,FL,palm beach,2023-01-15,26.8,-80.0,2023,1,15,Winter,24,58.0
Tampa,FL,hillsborough,2023-01-15,28.1,-82.4,2023,1,15,Winter,28,45.0
Missouri City,TX,fort bend,2023-01-16,29.6,-95.5,2023,1,16,Winter,3,
West Palm Beach,FL,palm beach,2023-01-16,26.8,-80.0,2023,1,16,Winter,24,52.0
Rockport,TX,aransas,2023-01-16,28.1,-97.0,2023,1,16,Winter,4,
Sugar Land,TX,fort bend,2023-01-16,29.6,-95.6,2023,1,16,Winter,1,
Corpus Christi,TX,nueces,2023-01-16,27.7,-97.4,2023,1,16,Winter,5,70.0
Houston,TX,fort bend,2023-01-17,29.7,-95.4,2023,1,17,Winter,1,
West Palm Beach,FL,palm beach,2023-01-17,26.8,-80.0,2023,1,17,Winter,24,54.0
Houston,TX,fort bend,2023-01-17,29.9,-95.7,2023,1,17,Winter,1,
Lacombe,LA,saint tammany,2023-01-17,30.3,-89.9,2023,1,17,Winter,1,
Houston,TX,harris,2023-01-17,29.9,-95.7,2023,1,17,Winter,43,66.0
