City,State/Province,County,Date,Latitude,Longitude,year,month,day,season,Count,AQI,Temp_Mean
Oak Island,NC,brunswick,2019-01-04,33.9,-78.1,2019,1,4,Winter,24,,
Salado,TX,bell,2019-01-05,31.0,-97.5,2019,1,5,Winter,2,39.0,53.25
Gulf Shores,AL,baldwin,2019-01-05,30.2,-88.0,2019,1,5,Winter,8,,
Gulf Shores,AL,baldwin,2019-01-05,30.2,-87.9,2019,1,5,Winter,1,,
Lemon Grove,CA,sandiego,2019-01-05,32.7,-117.0,2019,1,5,Winter,2,71.0,52.13690471428571
Port O Connor,TX,calhoun,2019-01-08,28.5,-96.4,2019,1,8,Winter,6,,
Saint Helena Island,SC,beaufort,2019-01-08,32.4,-80.5,2019,1,8,Winter,6,,
Waycross,GA,ware,2019-01-16,31.2,-82.4,2019,1,16,Winter,2,,
The Villages,FL,sumter,2019-02-02,28.9,-82.0,2019,2,2,Winter,2,,
Corpus Christi,TX,nueces,2019-02-04,27.7,-97.3,2019,2,4,Winter,5,57.0,70.15625
Mount Pleasant,SC,charleston,2019-02-06,32.8,-79.9,2019,2,6,Winter,2,53.0,
Corpus Christi,TX,nueces,2019-02-07,27.8,-97.4,2019,2,7,Winter,5,57.0,66.83333350000001
Arcadia,FL,desoto,2019-02-10,27.3,-81.9,2019,2,10,Winter,15,,
Houston,TX,harris,2019-02-11,29.8,-95.6,2019,2,11,Winter,86,50.0,67.63970582352941
Hollywood,FL,broward,2019-02-11,26.0,-80.4,2019,2,11,Winter,30,43.0,75.4125
Winter Haven,FL,polk,2019-02-11,28.0,-81.8,2019,2,11,Winter,18,34.0,72.666667
Houston,TX,fortbend,2019-02-11,29.8,-95.6,2019,2,11,Winter,2,,
Tucson,AZ,pima,2019-02-12,32.2,-110.9,2019,2,12,Winter,19,46.0,49.8750001
Mount Dora,FL,lake,2019-02-12,28.8,-81.6,2019,2,12,Winter,1,29.0,
Houston,TX,fortbend,2019-02-12,29.7,-95.6,2019,2,12,Winter,2,,
Houston,TX,harris,2019-02-12,29.7,-95.6,2019,2,12,Winter,86,33.0,60.1811594117647
Jupiter,FL,palmbeach,2019-02-13,27.0,-80.1,2019,2,13,Winter,4,41.0,
Vero Beach,FL,indianriver,2019-02-14,27.6,-80.4,2019,2,14,Winter,10,40.0,
Mount Dora,FL,lake,2019-02-14,28.8,-81.6,2019,2,14,Winter,2,43.0,
Edinburg,TX,hidalgo,2019-02-20,26.3,-98.2,2019,2,20,Winter,18,35.0,56.5
Saint Petersburg,FL,pinellas,2019-02-22,27.8,-82.7,2019,2,22,Winter,780,47.0,75.375
Edinburg,TX,hidalgo,2019-02-23,26.3,-98.2,2019,2,23,Winter,12,89.0,71.8125
Avon,NC,dare,2019-02-26,35.3,-75.5,2019,2,26,Winter,2,,
Key West,FL,monroe,2019-02-26,24.6,-81.8,2019,2,26,Winter,22,,
Sarasota,FL,manatee,2019-02-27,27.3,-82.5,2019,2,27,Winter,2,32.0,
Bluffton,SC,beaufort,2019-02-27,32.2,-80.8,2019,2,27,Winter,3,,
Edinburg,TX,hidalgo,2019-02-27,26.3,-98.2,2019,2,27,Winter,12,60.0,75.89583350000001
Sarasota,FL,sarasota,2019-02-27,27.3,-82.5,2019,2,27,Winter,6,32.0,
New Orleans,LA,jefferson,2019-02-28,30.0,-90.1,2019,2,28,Winter,6,21.0,
New Orleans,LA,orleans,2019-02-28,30.0,-90.1,2019,2,28,Winter,24,21.0,
Fort Lauderdale,FL,broward,2019-02-28,26.1,-80.1,2019,2,28,Winter,34,44.0,72.145833
Pass Christian,MS,harrison,2019-03-01,30.3,-89.2,2019,3,1,Spring,4,36.0,66.595833
Orlando,FL,brevard,2019-03-01,28.5,-81.4,2019,3,1,Spring,9,41.0,
Orlando,FL,orange,2019-03-01,28.5,-81.4,2019,3,1,Spring,69,37.0,
Corpus Christi,TX,nueces,2019-03-01,27.7,-97.3,2019,3,1,Spring,5,67.0,55.075181
Mary Esther,FL,okaloosa,2019-03-01,30.4,-86.8,2019,3,1,Spring,2,24.0,
Sanford,FL,seminole,2019-03-01,28.8,-81.3,2019,3,1,Spring,20,41.0,
Hilton Head Island,SC,beaufort,2019-03-01,32.2,-80.8,2019,3,1,Spring,3,,
Bradenton,FL,manatee,2019-03-02,27.5,-82.6,2019,3,2,Spring,48,33.0,
Surprise,AZ,maricopa,2019-03-02,33.6,-112.4,2019,3,2,Spring,3,55.0,65.75
Orlando,FL,brevard,2019-03-02,28.5,-81.4,2019,3,2,Spring,3,44.0,
Edinburg,TX,hidalgo,2019-03-02,26.3,-98.2,2019,3,2,Spring,6,57.0,76.208333
La Quinta,CA,riverside,2019-03-02,33.7,-116.3,2019,3,2,Spring,1,42.0,62.2877975
Cape Coral,FL,lee,2019-03-02,26.6,-82.0,2019,3,2,Spring,7,39.0,74.291667
Orlando,FL,orange,2019-03-02,28.5,-81.4,2019,3,2,Spring,23,41.0,
Houma,LA,terrebonne,2019-03-02,29.6,-90.8,2019,3,2,Spring,3,,
Cocoa,FL,brevard,2019-03-03,28.5,-80.8,2019,3,3,Spring,9,33.0,
Encinitas,CA,sandiego,2019-03-03,33.0,-117.3,2019,3,3,Spring,3,37.0,57.28571442857143
Orlando,FL,brevard,2019-03-03,28.5,-81.4,2019,3,3,Spring,6,33.0,
Tucson,AZ,pima,2019-03-03,32.3,-111.0,2019,3,3,Spring,38,40.0,62.5666666
Orlando,FL,orange,2019-03-03,28.5,-81.4,2019,3,3,Spring,46,54.0,
Orlando,FL,orange,2019-03-04,28.5,-81.4,2019,3,4,Spring,23,44.0,
Orlando,FL,brevard,2019-03-04,28.5,-81.4,2019,3,4,Spring,3,37.0,
La Quinta,CA,riverside,2019-03-05,33.7,-116.3,2019,3,5,Spring,2,61.0,60.17797614285714
Pass Christian,MS,harrison,2019-03-06,30.3,-89.2,2019,3,6,Spring,4,43.0,43.641667
Spring Valley,CA,sandiego,2019-03-06,32.7,-117.0,2019,3,6,Spring,1,52.0,60.42857157142857
Sanibel,FL,lee,2019-03-06,26.4,-82.1,2019,3,6,Spring,1,50.0,57.125
Vero Beach,FL,indianriver,2019-03-06,27.6,-80.4,2019,3,6,Spring,10,47.0,
Hollywood,FL,broward,2019-03-07,26.0,-80.4,2019,3,7,Spring,20,54.0,64.691667
Estero,FL,lee,2019-03-07,26.4,-81.8,2019,3,7,Spring,1,64.0,61.875
Encinitas,CA,sandiego,2019-03-07,33.0,-117.3,2019,3,7,Spring,3,41.0,56.88690471428571
Houston,TX,fortbend,2019-03-07,29.8,-95.6,2019,3,7,Spring,1,,
Corpus Christi,TX,nueces,2019-03-07,27.8,-97.4,2019,3,7,Spring,10,51.0,63.864583249999995
Houston,TX,harris,2019-03-07,29.8,-95.6,2019,3,7,Spring,43,51.0,62.740196
San Marcos,TX,hays,2019-03-08,29.9,-97.9,2019,3,8,Spring,1,,
Houston,TX,fortbend,2019-03-08,29.7,-95.3,2019,3,8,Spring,1,,
Tampa,FL,hillsborough,2019-03-08,27.9,-82.5,2019,3,8,Spring,56,46.0,65.208333
Pacific Grove,CA,monterey,2019-03-08,36.6,-121.9,2019,3,8,Spring,2,40.0,46.75
Houston,TX,harris,2019-03-08,29.7,-95.3,2019,3,8,Spring,43,57.0,71.98284311764706
San Antonio,TX,comal,2019-03-09,29.4,-98.5,2019,3,9,Spring,3,,
San Antonio,TX,bexar,2019-03-09,29.4,-98.5,2019,3,9,Spring,32,55.0,73.84027766666667
Lake Charles,LA,calcasieu,2019-03-09,30.3,-93.3,2019,3,9,Spring,8,63.0,
Uvalde,TX,uvalde,2019-03-09,29.1,-99.9,2019,3,9,Spring,23,,
Washington,TX,washington,2019-03-09,30.2,-96.2,2019,3,9,Spring,1,,
Willis,TX,montgomery,2019-03-09,30.4,-95.5,2019,3,9,Spring,2,56.0,73.541667
Mount Pleasant,SC,charleston,2019-03-09,32.8,-79.9,2019,3,9,Spring,2,43.0,
Kissimmee,FL,polk,2019-03-09,28.3,-81.4,2019,3,9,Spring,6,52.0,71.333333
Sandia,TX,jimwells,2019-03-09,28.0,-97.9,2019,3,9,Spring,6,,
Kissimmee,FL,osceola,2019-03-09,28.3,-81.4,2019,3,9,Spring,15,41.0,
Loranger,LA,tangipahoa,2019-03-09,30.6,-90.4,2019,3,9,Spring,5,,
Edinburg,TX,hidalgo,2019-03-09,26.3,-98.2,2019,3,9,Spring,18,64.0,79.4375
Smithville,TX,bastrop,2019-03-09,30.1,-97.2,2019,3,9,Spring,3,,
Magnolia,TX,montgomery,2019-03-09,30.1,-95.7,2019,3,9,Spring,5,56.0,73.541667
Magnolia,TX,montgomery,2019-03-09,30.2,-95.8,2019,3,9,Spring,5,56.0,73.541667
Chauvin,LA,terrebonne,2019-03-09,29.4,-90.6,2019,3,9,Spring,3,,
Von Ormy,TX,bexar,2019-03-10,29.3,-98.6,2019,3,10,Spring,2,66.0,70.0
San Antonio,TX,comal,2019-03-10,29.5,-98.5,2019,3,10,Spring,9,,
Austin,TX,hays,2019-03-10,30.3,-97.8,2019,3,10,Spring,1,,
Orlando,FL,orange,2019-03-10,28.5,-81.4,2019,3,10,Spring,46,36.0,
Montgomery,TX,montgomery,2019-03-10,30.4,-95.8,2019,3,10,Spring,2,58.0,71.958333
Caldwell,TX,burleson,2019-03-10,30.6,-96.5,2019,3,10,Spring,2,,
